,y
423,107.68
424,88.57
425,112.59
426,101.11
427,93.02
428,88.06
429,99.51
430,90.77
431,89.79
432,79.99
433,93.4
434,113.68
435,94.35
436,116.87
437,112.94
438,92.4
439,107.12
440,100.42
441,87.63
442,91.02
443,87.53
444,134.26
445,106.59
446,104.73
447,90.46
448,88.98
449,116.03
450,90.34
451,101.97
452,104.25
453,93.74
454,94.44
455,102.33
456,100.07
457,101.66
458,99.55
459,113.4
460,97.17
461,109.67
462,109.16
463,106.5
464,111.15
465,92.83
466,97.57
467,111.52
468,89.6
469,105.09
470,90.79
471,90.54
472,111.41
473,97.3
474,106.81
475,92.22
476,111.04
477,96.35
478,98.93
479,114.94
480,89.02
481,113.07
482,107.61
483,104.73
484,80.01
485,88.2
486,115.92
487,109.91
488,94.0
489,75.86
490,95.69
491,91.16
492,95.56
493,107.54
494,89.6
495,108.32
496,92.29
497,95.03
498,114.39
499,104.52
500,126.68
501,94.56
502,111.41
503,93.81
504,113.93
505,111.88
506,91.56
507,103.75
508,90.76
509,97.9
510,108.92
511,90.86
512,113.75
513,105.43
514,111.21
515,110.44
516,119.71
517,104.29
518,88.3
519,104.67
520,109.36
521,98.78
522,114.85
523,113.12
524,93.9
525,105.76
526,96.6
527,128.25
528,118.31
529,110.11
530,123.89
531,100.97
532,89.44
533,109.04
534,91.82
535,99.46
536,112.71
537,111.54
538,113.08
539,89.97
540,101.11
541,90.05
542,108.41
543,87.1
544,101.47
545,107.51
546,97.03
547,124.37
548,131.56
549,95.49
550,95.75
551,106.72
552,117.85
553,113.64
554,103.88
555,94.29
556,107.94
557,113.68
558,88.78
559,129.19
560,91.3
561,90.52
562,93.62
563,105.87
564,90.95
565,112.5
566,89.89
567,97.33
568,130.97
569,74.53
570,113.62
571,94.95
572,90.39
573,118.17
574,90.38
575,122.4
576,89.83
577,111.66
578,114.28
579,93.38
580,76.81
581,96.0
582,93.12
583,94.71
584,88.38
585,74.2
586,109.53
587,101.39
588,119.57
589,108.47
590,107.22
591,77.42
592,132.59
593,90.66
594,110.71
595,91.35
596,108.68
597,90.73
598,105.31
599,91.44
600,79.81
601,110.24
602,85.82
603,124.17
604,100.77
605,91.61
606,89.73
607,110.49
608,97.99
609,87.61
610,94.6
611,111.44
612,91.62
613,99.22
614,87.07
615,87.71
616,111.54
617,112.78
618,92.59
619,87.65
620,109.93
621,92.65
622,89.74
623,117.08
624,89.56
625,78.19
626,105.96
627,94.36
628,108.9
629,88.55
630,107.75
631,88.9
632,118.27
633,113.15
634,82.2
635,108.56
636,99.15
637,113.35
638,110.53
639,119.24
640,93.26
641,115.62
642,111.48
643,110.48
644,99.52
645,91.52
646,88.81
647,88.93
648,112.95
649,101.06
650,98.97
651,117.07
652,88.03
653,107.45
654,90.9
655,91.39
656,88.49
657,101.7
658,89.91
659,121.23
660,93.11
661,105.35
662,108.54
663,111.48
664,109.92
665,103.59
666,93.43
667,116.02
668,100.25
669,98.04
670,93.47
671,97.95
672,90.65
673,107.71
674,85.98
675,111.02
676,87.87
677,96.51
678,91.68
679,113.93
680,98.28
681,115.42
682,95.22
683,102.13
684,111.25
685,107.62
686,76.27
687,118.9
688,90.62
689,110.23
690,97.02
691,90.39
692,105.66
693,95.71
694,93.82
695,109.19
696,95.0
697,100.59
698,89.6
699,109.64
700,110.64
701,104.62
702,121.79
703,94.11
704,110.58
705,93.8
706,100.83
707,121.18
708,94.67
709,87.47
710,105.3
711,89.65
712,105.03
713,113.41
714,99.51
715,122.2
716,90.78
717,113.02
718,94.41
719,82.24
720,110.64
721,97.32
722,101.43
723,140.49
724,114.91
725,112.54
726,76.99
727,88.26
728,109.58
729,104.53
730,91.21
731,111.1
732,88.12
733,101.46
734,88.88
735,87.71
736,98.13
737,98.93
738,92.12
739,108.15
740,104.2
741,126.52
742,95.1
743,91.58
744,116.02
745,97.57
746,107.36
747,109.77
748,114.25
749,104.42
750,91.16
751,119.02
752,100.42
753,109.39
754,91.19
755,107.24
756,114.32
758,93.02
759,90.22
760,105.45
761,112.38
762,94.87
763,158.53
764,114.51
765,127.91
766,99.48
767,129.32
768,83.42
769,118.44
770,111.9
771,91.37
772,86.93
773,112.51
774,141.31
775,106.79
776,99.18
777,92.4
778,108.57
779,95.64
780,89.6
781,98.95
782,108.65
783,110.87
784,108.36
785,78.5
786,101.98
787,106.56
788,89.96
789,113.56
790,112.09
791,92.32
792,99.78
793,92.38
794,104.19
795,98.01
796,78.47
797,91.78
798,108.38
799,105.4
800,99.0
801,87.13
802,107.48
803,100.77
804,92.95
805,87.21
806,100.35
807,106.19
808,90.04
809,117.89
810,88.64
811,110.54
812,93.76
813,117.3
814,101.2
815,98.17
816,99.91
817,94.29
818,91.63
819,107.59
820,90.71
821,107.36
822,91.21
823,90.4
824,91.27
825,90.32
826,93.75
827,108.49
828,88.34
829,120.17
830,87.21
831,93.42
832,108.34
833,90.35
834,88.71
835,110.7
836,115.73
837,89.97
838,100.28
839,114.35
840,115.22
841,93.83
842,94.39
843,96.83
844,90.96
845,111.89
846,113.39
847,107.13
848,125.03
849,90.43
850,101.58
851,103.57
852,107.99
853,102.39
854,113.74
855,106.57
856,107.48
857,106.52
858,100.62
859,101.33
860,108.68
861,90.04
862,140.15
863,114.53
864,137.44
865,110.24
866,107.13
867,95.62
868,88.96
869,101.66
870,104.37
871,99.72
872,125.06
873,108.37
874,89.0
875,99.06
876,89.29
877,115.13
878,92.73
879,108.88
880,98.56
881,108.64
882,99.51
883,89.83
884,92.63
885,105.53
886,108.99
887,90.1
888,117.98
889,89.65
890,88.1
891,99.56
892,85.48
893,140.41
894,115.81
895,89.75
896,144.36
897,93.78
898,89.06
899,88.26
900,105.53
901,116.21
902,90.59
903,115.15
904,109.45
905,93.92
906,91.07
907,93.96
908,93.6
909,97.0
910,102.76
911,94.11
912,99.2
913,100.55
914,90.69
915,89.94
916,93.34
917,122.09
918,154.43
919,88.26
920,106.39
921,89.39
922,106.23
923,87.54
924,99.58
925,99.03
926,97.22
927,108.74
928,93.41
929,104.93
930,97.94
931,98.11
932,95.77
933,128.78
934,128.14
935,90.09
936,87.31
937,97.43
938,93.38
939,102.63
940,96.08
941,105.65
942,93.11
943,87.06
944,99.52
945,106.08
946,89.02
947,106.67
948,89.0
949,111.85
950,106.81
951,101.97
952,119.08
953,90.18
954,128.1
955,92.33
956,119.01
957,94.81
958,89.74
959,90.64
960,111.86
961,112.51
962,109.78
963,94.55
964,93.95
965,96.23
966,97.46
967,90.49
968,74.54
969,115.95
970,121.03
971,113.88
972,118.18
973,100.9
974,108.39
975,111.02
976,91.38
977,118.42
978,93.39
979,88.8
980,103.03
981,90.57
982,109.63
983,94.81
984,101.23
985,93.48
986,149.63
987,88.62
988,99.68
989,118.23
990,116.3
991,104.92
992,122.72
993,107.28
994,88.41
995,97.89
996,88.95
997,109.68
998,100.16
999,99.66
1000,88.51
1001,101.0
1002,100.12
1003,103.01
1004,111.74
1005,97.72
1006,111.31
1007,89.51
1008,91.33
1009,106.31
1010,89.19
1011,92.04
1012,114.88
1013,89.7
1014,108.88
1015,91.79
1016,93.65
1017,100.81
1018,122.65
1019,99.98
1020,110.03
1021,106.18
1022,88.57
1023,108.12
1024,100.37
1025,110.58
1026,88.92
1027,116.0
1028,83.98
1029,114.12
1030,88.29
1031,92.96
1032,122.4
1033,93.62
1034,101.71
1035,90.89
1036,108.52
1037,114.26
1038,91.21
1039,121.27
1040,121.28
1041,90.37
1042,98.58
1043,88.69
1044,160.87
1045,100.75
1046,92.7
1047,113.39
1048,99.16
1049,104.18
1050,97.7
1051,101.18
1052,90.49
1053,108.48
1054,93.29
1055,100.5
1056,108.76
1057,93.97
1058,110.21
1059,88.34
1060,123.24
1061,107.35
1062,90.25
1063,95.24
1064,115.22
1065,105.65
1066,90.86
1067,112.97
1068,114.8
1069,87.95
1070,91.85
1071,101.64
1072,114.56
1073,108.52
1074,109.03
1075,103.91
1076,88.01
1077,109.91
1078,108.06
1079,110.17
1080,88.15
1081,122.51
1082,96.14
1083,106.03
1084,106.35
1085,89.41
1086,92.13
1087,99.83
1088,96.05
1089,105.97
1090,110.47
1091,90.13
1092,99.24
1093,106.05
1094,105.03
1095,98.95
1096,112.57
1097,152.32
1098,106.09
1099,111.31
1100,88.61
1101,92.8
1102,78.45
1103,87.37
1104,87.05
1105,88.18
1106,76.86
1107,90.44
1108,111.58
1109,109.26
1110,106.31
1111,92.21
1112,91.38
1113,113.43
1114,112.48
1115,97.99
1116,105.18
1117,76.64
1118,108.19
1119,100.1
1120,113.34
1121,104.37
1122,94.09
1123,76.18
1124,98.39
1125,84.85
1126,111.03
1127,109.87
1128,114.89
1129,112.8
1130,134.04
1131,96.69
1132,105.51
1133,129.16
1134,95.94
1135,111.55
1136,113.03
1137,94.39
1138,99.26
1139,111.47
1140,103.72
1141,87.81
1142,93.77
1143,88.63
1144,95.33
1145,107.47
1146,85.23
1147,106.27
1148,88.36
1149,110.16
1150,101.74
1151,92.64
1152,107.82
1153,108.73
1154,92.3
1155,90.05
1156,88.57
1157,88.14
1158,88.6
1159,85.92
1160,106.13
1161,111.49
1162,110.76
1163,142.71
1164,108.51
1165,92.09
1166,113.82
1167,96.82
1168,102.04
1169,89.38
1170,77.42
1171,90.67
1172,95.59
1173,110.23
1174,91.24
1175,110.07
1176,91.55
1177,103.32
1178,93.55
1179,88.02
1180,118.06
1181,98.57
1182,91.62
1183,94.8
1184,75.26
1185,97.86
1186,90.6
1187,111.41
1188,89.69
1189,89.11
1190,75.79
1191,87.58
1192,103.31
1193,92.82
1194,104.34
1195,109.25
1196,88.79
1197,94.02
1198,98.32
1199,90.13
1200,105.95
1201,89.38
1202,90.68
1203,99.6
1204,94.57
1205,87.24
1206,123.17
1207,110.24
1208,97.26
1209,105.96
1210,78.01
1211,108.33
1212,100.87
1213,108.57
1214,88.55
1215,114.83
1216,99.93
1217,93.57
1218,109.12
1219,94.84
1220,100.75
1221,106.84
1222,117.35
1223,92.98
1224,106.58
1225,115.39
1226,106.32
1227,107.61
1228,88.69
1229,107.15
1230,107.66
1231,135.29
1232,95.76
1233,108.3
1234,101.25
1235,89.55
1236,100.32
1237,110.32
1238,88.87
1239,118.61
1240,87.25
1241,91.32
1242,97.27
1243,87.0
1244,90.0
1245,110.29
1246,91.9
1247,106.65
1248,97.47
1249,89.26
1250,100.57
1251,100.63
1252,111.1
1253,91.98
1254,115.22
1255,112.88
1256,73.15
1257,167.45
1258,109.7
1259,90.88
1260,108.35
1261,90.41
1262,96.61
1263,87.99
1264,74.1
1265,92.91
1266,111.09
1267,93.03
1268,87.63
1269,87.56
1270,76.96
1271,108.06
1272,92.34
1273,114.92
1274,89.67
1275,90.69
1276,91.35
1277,91.0
1278,96.87
1279,91.07
1280,115.6
1281,91.53
1282,101.79
1283,111.85
1284,88.93
1285,128.35
1286,98.81
1287,90.32
1288,119.87
1289,104.51
1290,112.0
1291,100.07
1292,93.0
1293,94.18
1294,119.03
1295,93.4
1296,101.13
1297,93.32
1298,92.21
1299,102.3
1300,92.63
1301,75.82
1302,96.98
1303,106.33
1304,107.98
1305,91.32
1306,73.45
1307,94.6
1308,91.11
1309,116.57
1310,108.96
1311,127.06
1312,95.74
1313,96.28
1314,105.53
1315,76.8
1316,127.19
1317,87.85
1318,91.07
1319,109.61
1320,90.82
1321,125.26
1322,86.15
1323,81.08
1324,101.0
1325,93.58
1326,103.45
1327,111.45
1328,108.13
1329,106.62
1330,108.42
1331,96.17
1332,111.42
1333,89.97
1334,110.47
1335,75.89
1336,90.72
1337,94.08
1338,132.6
1339,114.53
1340,96.45
1341,110.9
1342,108.94
1343,93.6
1344,111.15
1345,90.66
1346,106.54
1347,125.91
1348,114.65
1349,109.75
1350,120.91
1351,110.43
1352,89.9
1353,90.35
1354,89.61
1355,91.15
1356,110.57
1357,119.3
1358,102.42
1359,113.71
1360,92.39
1361,77.86
1362,90.44
1363,111.31
1364,110.33
1365,103.47
1366,112.06
1367,75.51
1368,90.4
1369,108.02
1370,117.6
1371,92.66
1372,107.7
1373,93.62
1374,93.86
1375,98.74
1376,113.75
1377,106.83
1378,103.2
1379,88.38
1380,99.2
1381,118.78
1382,102.14
1383,92.53
1384,91.01
1385,87.83
1386,111.64
1387,93.75
1388,110.42
1389,87.41
1390,117.06
1391,125.76
1392,100.56
1393,111.05
1394,87.95
1395,88.77
1396,105.85
1397,103.7
1398,114.6
1399,89.62
1400,109.37
1401,95.8
1402,104.73
1403,113.87
1404,99.0
1405,133.5
1406,102.0
1407,91.38
1408,88.29
1409,109.71
1410,98.98
1411,119.75
1412,112.99
1413,117.71
1414,91.61
1415,82.21
1416,89.3
1417,114.5
1418,104.92
1419,98.7
1420,93.76
1421,98.02
1422,109.74
1423,108.51
1424,88.67
1425,117.35
1426,102.77
1427,119.39
1428,105.89
1429,88.47
1430,104.45
1431,125.72
1432,89.41
1433,105.49
1434,87.72
1435,100.53
1436,125.46
1437,101.26
1438,132.86
1439,110.64
1440,97.86
1441,93.71
1442,111.44
1443,89.03
1444,89.57
1445,117.29
1446,111.68
1447,92.35
1448,107.54
1449,91.76
1450,81.96
1451,95.59
1452,101.64
1453,94.03
1454,88.62
1455,116.82
1456,106.66
1457,88.88
1458,99.94
1459,94.31
1460,100.5
1461,101.94
1462,97.67
1463,102.78
1464,89.39
1465,93.96
1466,88.83
1467,91.66
1468,107.04
1469,92.58
1470,108.47
1471,95.98
1472,94.76
1473,104.77
1474,89.61
1475,99.67
1476,117.4
1477,133.55
1478,105.17
1479,96.59
1480,96.81
1481,106.18
1482,107.71
1483,91.14
1484,109.55
1485,93.29
1486,108.33
1487,77.62
1488,95.64
1489,90.27
1490,108.03
1491,100.0
1492,114.52
1493,92.45
1494,139.61
1495,104.6
1496,89.94
1497,101.47
1498,106.52
1499,91.78
1500,92.94
1501,105.79
1502,117.32
1503,95.87
1504,122.12
1505,119.5
1506,100.46
1507,86.96
1508,114.18
1509,101.07
1510,110.94
1511,107.1
1512,92.6
1513,112.17
1514,89.75
1515,99.23
1516,115.05
1517,89.84
1518,110.94
1519,114.57
1520,98.7
1521,87.74
1522,120.17
1523,117.28
1524,92.46
1525,97.32
1526,114.35
1527,115.24
1528,106.6
1529,99.84
1530,109.25
1531,119.31
1532,108.26
1533,89.93
1534,78.95
1535,109.61
1536,95.71
1537,125.72
1538,90.68
1539,106.73
1540,77.45
1541,122.01
1542,116.51
1543,99.64
1544,74.35
1545,114.51
1546,107.99
1547,110.01
1548,89.28
1549,99.1
1550,90.76
1551,94.21
1552,93.94
1553,93.15
1554,114.66
1555,72.94
1556,102.48
1557,92.47
1558,100.27
1559,89.77
1560,111.22
1561,91.89
1562,88.22
1563,108.35
1564,107.79
1565,108.99
1566,95.15
1567,107.97
1568,86.34
1569,99.99
1570,92.82
1571,112.54
1572,88.77
1573,92.99
1574,101.65
1575,90.76
1576,111.4
1577,88.36
1578,110.07
1579,119.59
1580,109.79
1581,92.59
1582,111.92
1583,89.07
1584,110.22
1585,90.11
1586,98.81
1587,94.5
1588,122.31
1589,89.9
1590,111.83
1591,125.44
1592,89.19
1593,89.38
1594,85.83
1595,105.29
1596,89.14
1597,115.53
1598,88.66
1599,107.01
1600,94.9
1601,93.91
1602,93.78
1603,99.4
1604,89.01
1605,98.19
1606,109.24
1607,100.71
1608,91.43
1609,97.78
1610,88.44
1611,109.59
1612,90.52
1613,93.64
1614,72.5
1615,90.83
1616,106.22
1617,111.01
1618,107.4
1619,107.3
1620,87.33
1621,115.72
1622,95.31
1623,128.02
1624,90.26
1625,107.85
1626,119.78
1627,92.97
1628,74.86
1629,106.79
1630,108.07
1631,115.83
1632,78.47
1633,87.73
1634,101.71
1635,100.35
1636,87.57
1637,88.87
1638,92.19
1639,104.55
1640,107.12
1641,87.71
1642,119.65
1643,102.91
1644,92.32
1645,107.9
1646,91.44
1647,97.86
1648,104.91
1649,91.46
1650,106.59
1651,91.46
1652,98.31
1653,116.18
1654,87.17
1655,88.14
1656,132.29
1657,88.08
1658,106.9
1659,97.77
1660,107.77
1661,90.83
1662,97.64
1663,98.59
1664,104.87
1665,90.8
1666,98.16
1667,89.64
1668,99.03
1669,105.36
1670,113.01
1671,89.9
1672,115.19
1673,89.26
1674,92.43
1675,86.67
1676,118.27
1677,91.88
1678,109.02
1679,108.64
1680,94.56
1681,109.98
1682,92.13
1683,88.18
1684,91.08
1685,109.21
1686,73.89
1687,93.57
1688,100.71
1689,101.6
1690,87.67
1691,114.8
1692,88.73
1693,91.6
1694,110.02
1695,74.2
1696,99.58
1697,95.34
1698,109.49
1699,92.38
1700,102.78
1701,100.85
1702,88.83
1703,89.69
1704,108.99
1705,90.39
1706,103.85
1707,90.49
1708,103.03
1709,98.97
1710,91.13
1711,100.4
1712,115.39
1713,88.92
1714,109.05
1715,77.64
1716,94.35
1717,110.94
1718,92.1
1719,109.63
1720,88.28
1721,81.07
1722,90.44
1723,89.65
1724,114.65
1725,88.12
1726,106.91
1727,100.11
1728,108.88
1729,116.23
1730,111.07
1731,114.29
1732,91.23
1733,89.63
1734,90.69
1735,95.35
1736,95.21
1737,98.83
1738,91.59
1739,112.53
1740,114.63
1741,95.48
1742,123.47
1743,107.61
1744,80.2
1745,90.41
1746,109.47
1747,93.8
1748,109.13
1749,89.86
1750,106.13
1751,88.95
1752,92.08
1753,119.89
1754,112.31
1755,114.4
1756,88.7
1757,124.64
1758,96.41
1759,88.97
1760,99.59
1761,96.47
1762,101.27
1763,88.45
1764,91.88
1765,106.4
1766,112.07
1767,102.93
1768,92.18
1769,93.29
1770,107.81
1771,77.16
1772,122.4
1773,90.57
1774,95.67
1775,126.97
1776,100.09
1777,105.94
1778,111.32
1779,91.52
1780,89.65
1781,125.84
1782,111.08
1783,87.06
1784,101.89
1785,98.25
1786,113.09
1787,119.38
1788,110.33
1789,95.96
1790,93.56
1791,105.59
1792,110.39
1793,98.94
1794,94.38
1795,106.1
1796,109.34
1797,88.99
1798,91.63
1799,88.44
1800,99.41
1801,89.89
1802,109.39
1803,90.44
1804,104.65
1805,110.97
1806,113.52
1807,89.61
1808,100.68
1809,114.87
1810,112.94
1811,89.22
1812,108.31
1813,89.91
1814,92.79
1815,100.04
1816,101.35
1817,107.11
1818,88.06
1819,107.42
1820,109.65
1821,97.55
1822,76.78
1823,106.37
1824,91.88
1825,116.67
1826,111.14
1827,103.63
1828,96.21
1829,89.37
1830,98.32
1831,119.88
1832,93.91
1833,91.6
1834,103.1
1835,96.93
1836,97.58
1837,83.49
1838,101.45
1839,75.05
1840,111.21
1841,95.89
1842,115.21
1843,113.7
1844,91.41
1845,110.2
1846,109.1
1847,113.95
1848,91.88
1849,108.8
1850,87.53
1851,113.75
1852,89.19
1853,84.2
1854,92.31
1855,110.92
1856,100.68
1857,109.05
1858,95.01
1859,105.36
1860,99.54
1861,92.4
1862,118.02
1863,91.71
1864,109.02
1865,93.36
1866,88.39
1867,73.79
1868,102.3
1869,92.46
1870,101.3
1871,92.83
1872,103.39
1873,110.75
1874,89.17
1875,93.95
1876,87.99
1877,113.43
1878,102.65
1879,90.04
1880,86.9
1881,97.16
1882,92.54
1883,104.21
1884,107.26
1885,78.88
1886,89.13
1887,100.71
1888,109.28
1889,88.12
1890,90.43
1891,99.67
1892,91.03
1893,121.6
1894,80.44
1895,108.94
1896,114.55
1897,96.69
1898,98.12
1899,98.36
1900,98.96
1901,99.03
1902,100.67
1903,102.04
1904,109.01
1905,100.77
1906,97.72
1907,106.05
1908,114.3
1909,97.68
1910,87.15
1911,86.95
1912,92.52
1913,113.55
1914,78.91
1915,88.07
1916,94.24
1917,102.91
1918,93.87
1919,112.22
1920,90.62
1921,93.1
1922,109.65
1923,91.43
1924,121.06
1925,89.44
1926,86.19
1927,91.88
1928,108.96
1929,89.99
1930,109.07
1931,108.71
1932,91.85
1933,154.16
1934,91.31
1935,115.18
1936,89.96
1937,98.51
1938,96.77
1939,93.0
1940,112.31
1941,107.45
1942,112.82
1943,95.97
1944,99.15
1945,106.51
1946,118.53
1947,102.17
1948,121.1
1949,107.9
1950,121.28
1951,108.76
1952,113.98
1953,136.96
1954,92.21
1955,99.53
1956,99.46
1957,92.26
1958,91.83
1959,105.89
1960,108.37
1961,108.72
1962,104.0
1963,112.41
1964,93.18
1965,96.51
1966,134.08
1967,90.36
1968,94.69
1969,110.63
1970,89.51
1971,104.65
1972,101.57
1973,90.87
1974,88.75
1975,92.56
1976,76.1
1977,93.05
1978,97.07
1979,105.24
1980,98.54
1981,88.4
1982,119.2
1983,87.8
1984,91.99
1985,111.16
1986,90.71
1987,125.75
1988,97.21
1989,93.25
1990,76.33
1991,128.58
1992,109.01
1993,85.96
1994,107.36
1995,85.94
1996,111.01
1997,110.6
1998,101.87
1999,91.93
2000,108.71
2001,92.79
2002,95.1
2003,103.53
2004,107.4
2005,108.05
2006,87.49
2007,109.72
2008,91.04
2009,106.16
2010,97.79
2011,81.18
2012,93.11
2013,84.56
2014,114.27
2015,90.57
2016,106.4
2017,95.46
2018,80.29
2019,112.25
2020,87.33
2021,85.61
2022,90.14
2023,140.25
2024,87.8
2025,108.37
2026,90.28
2027,107.11
2028,88.18
2029,112.56
2030,99.28
2031,122.65
2032,92.84
2033,113.86
2034,119.28
2035,87.13
2036,74.43
2037,110.83
2038,112.3
2039,88.53
2040,89.81
2041,99.82
2042,88.14
2043,99.95
2044,88.2
2045,96.85
2046,118.85
2047,134.81
2048,148.94
2049,90.58
2050,92.38
2051,97.69
2052,110.07
2053,108.58
2054,111.04
2055,114.58
2056,92.02
2057,106.0
2058,96.99
2059,89.72
2060,90.77
2061,86.73
2062,74.87
2063,118.73
2064,112.09
2065,121.92
2066,97.04
2067,118.38
2068,126.11
2069,119.7
2070,92.98
2071,89.91
2072,90.75
2073,103.77
2074,105.13
2075,107.3
2076,108.28
2077,109.28
2078,136.56
2079,117.08
2080,98.56
2081,111.57
2082,97.96
2083,110.66
2084,90.72
2085,76.84
2086,128.8
2087,91.13
2088,89.2
2089,86.8
2090,107.5
2091,107.03
2092,100.86
2093,122.36
2094,98.69
2095,90.16
2096,121.41
2097,88.05
2098,92.03
2099,117.46
2100,100.05
2101,113.67
2102,112.88
2103,115.6
2104,93.53
2105,89.79
2106,135.53
2107,107.61
2108,119.94
2109,108.97
2110,97.99
2111,105.81
2112,92.17
2113,92.6
2114,112.28
2115,100.68
2116,108.98
2117,116.42
2118,93.33
2119,77.06
2120,87.97
2121,98.16
2122,94.32
2123,137.49
2124,94.28
2125,108.03
2126,100.24
2127,131.69
2128,105.91
2129,99.11
2130,99.84
2131,102.25
2132,128.87
2133,107.29
2134,87.47
2135,123.11
2136,83.23
2137,106.78
2138,90.82
2139,93.71
2140,105.11
2141,110.38
